Numéro séquentiel,Date du compte,Numéro du fournisseur,Numéro de G/L comptes à payer,Numéro de facture du fournisseur,Description de la transaction,Montant total du compte,Solde à payer,Numéro de G/L (1),Montant applicable (G/L 1),Numéro de G/L (2),Montant applicable (G/L 2),Numéro de G/L (3),Montant applicable (G/L 3),Numéro de G/L (4),Montant applicable (G/L 4),Numéro de G/L (5),Montant applicable (G/L 5),Numéro de G/L (6),Montant applicable (G/L 6),Numéro de G/L (7),Montant applicable (G/L 7),Numéro de G/L (8),Montant applicable (G/L 8),Numéro de G/L (9),Montant applicable (G/L 9),Numéro de G/L (10),Montant applicable (G/L 10),Information - Ligne 1,Information - Ligne 2,Information - Ligne 3,Code d'identification,Nombre de postes supplémentaires ds GLSUP,Numéro de projet,Montant total de retenue,Solde de la retenue à payer,Numéro de G/L retenues à payer,Montant payé de TVQ sur retenues (taux 1),Montant payé de TVQ sur retenues (taux 2),Montant payé de TPS sur retenues,Calcul automatique de la taxe féd. (T/F),Calcul automatique de la taxe prov. (T/F),Conditions de paiement,Devise étrangère,No. de commande,Plusieurs commandes (T/F),Dénonciation de contrat,Niveau de taxe provinciale (1-21),Nom du fournisseur,PEXPORTGB,HASDOC,ACONECTID,ACONDATE,ACONTIME,PTOTSNAPX
000001,2002/12/31,ATELIER-FL,21300,solde,,280.66,0.00,21300,280.66,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,ATELIER FLY BIKE,FALSE,FALSE,0,,,0.00
000002,2002/12/31,COUVREUR-L,21300,solde,,8166.78,0.00,21300,8166.78,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,COUVREUR LOUIS BLAIS,FALSE,FALSE,0,,,0.00
000003,2002/12/31,D-H-ELECTR,21300,solde,,17.24,0.00,21300,17.24,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,D.H. ELECTRONIQUE ENR.,FALSE,FALSE,0,,,0.00
000004,2002/12/31,DUFRESNE-M,21300,solde,,428.40,0.00,21300,428.40,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,FALSE,FALSE,,,,FALSE,FALSE,1,DUFRESNE & MARTEL INC.,FALSE,FALSE,0,,,0.00
000005,2002/12/31,ELOI-MOISA,21300,solde,,966.21,0.00,21300,966.21,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,ELOI MOISAN INC.,FALSE,FALSE,0,,,0.00
000006,2002/12/31,EQUIP-PNEU,21300,solde,,763.77,0.00,21300,763.77,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,EQUIPEMENTS PNEUMATIQUES DU CAP INC.,FALSE,FALSE,0,,,0.00
000007,2002/12/31,GARAGE-TRE,21300,solde,,503.07,0.00,21300,503.07,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,GARAGE NORMAND TREPANIER INC.,FALSE,FALSE,0,,,0.00
000008,2002/12/31,ENTRE-A-M-,21300,solde,,76.68,0.00,21300,76.68,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,ENTREPRISES A.M. INC. (LES),FALSE,FALSE,0,,,0.00
000009,2002/12/31,GOUT-DEZIE,21300,solde,,621.13,0.00,21300,621.13,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,GOUTTIERES PIERRE DEZIEL,FALSE,FALSE,0,,,0.00
000010,2002/12/31,H-P-TERRAS,21300,solde,,395.39,0.00,21300,395.39,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,H.P. TERRASSEMENT (9006-3165- QC INC.),FALSE,FALSE,0,,,0.00
000011,2002/12/31,J-B-POTHIE,21300,solde,,107.66,0.00,21300,107.66,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,J.B. POTHIER SPORTS INC.,FALSE,FALSE,0,,,0.00
000012,2002/12/31,J-G-JACOB-,21300,solde,,753.02,0.00,21300,753.02,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,J.-G. & M. JACOB INC.,FALSE,FALSE,0,,,0.00
000013,2002/12/31,J-M-SPORTS,21300,solde,,399.99,0.00,21300,399.99,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,J.M. SPORTS ENR.,FALSE,FALSE,0,,,0.00
000014,2002/12/31,LAVE-AUTO-,21300,solde,,10.00,0.00,21300,10.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,FALSE,FALSE,,,,FALSE,FALSE,1,LAVE AUTO 721 (2002),FALSE,FALSE,0,,,0.00
000015,2002/12/31,VAL-MAURIC,21300,solde,,4601.01,0.00,21300,4601.01,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,ENT. VAL-MAURICIE ELECTRIQUE INC. (LES),FALSE,FALSE,0,,,0.00
000016,2002/12/31,MACH-BROUS,21300,solde,,30.00,0.00,21300,30.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,LES MACHINERIES JEANNOT BROUSSEAU LTEE,FALSE,FALSE,0,,,0.00
000017,2002/12/31,MASSICOTTE,21300,solde,,276.06,0.00,21300,276.06,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,FALSE,FALSE,,,,FALSE,FALSE,1,MASSICOTTE REMBOURRAGE,FALSE,FALSE,0,,,0.00
000018,2002/12/31,MAT-ROY---,21300,solde,,4796.48,0.00,21300,4796.48,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,MATERIAUX M. ROY INC.,FALSE,FALSE,0,,,0.00
000019,2002/12/31,MONGRAIN-F,21300,solde,,5175.00,0.00,21300,5175.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,MONGRAIN & FRERES LTEE,FALSE,FALSE,0,,,0.00
000020,2002/12/31,PEINTECH--,21300,solde,,2933.14,0.00,21300,2933.14,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,PEINTECH (9000-2486 QUEBEC INC.),FALSE,FALSE,0,,,0.00
000021,2002/12/31,PEINT-DUPO,21300,solde,,1610.35,0.00,21300,1610.35,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,PEINTURES ROBERT DUPONT INC.,FALSE,FALSE,0,,,0.00
000022,2002/12/31,QUINC-FRIG,21300,solde,,5602.34,0.00,21300,5602.34,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,QUINCAILLERIE L. FRIGON INC.,FALSE,FALSE,0,,,0.00
000023,2002/12/31,RECUP-MARC,21300,solde,,230.05,0.00,21300,230.05,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,RECUPERATION YVES MARCHAND,FALSE,FALSE,0,,,0.00
000024,2002/12/31,TELUS-----,21300,solde,,551.95,0.00,21300,551.95,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,TELUS MOBILITE,FALSE,FALSE,0,,,0.00
000025,2002/12/31,FORD-LINCO,21300,solde,,2101.68,0.00,21300,2101.68,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,TROIS-RIVIERES FORD-LINCOLN,FALSE,FALSE,0,,,0.00
000026,2002/12/31,USINAGE-SB,21300,solde,,500.00,0.00,21300,500.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,USINAGE SB 2000,FALSE,FALSE,0,,,0.00
000027,2002/12/31,VINCENT-FE,21300,solde,,220.00,0.00,21300,220.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,FALSE,FALSE,,,,FALSE,FALSE,1,"VINCENT, FERNAND",FALSE,FALSE,0,,,0.00
000028,2002/12/31,VITRE-LAMB,21300,solde,,3450.75,0.00,21300,3450.75,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,VITRERIE YVON LAMBERT ET FILS,FALSE,FALSE,0,,,0.00
000029,2002/12/31,VISA-BANQU,21300,solde,,1510.03,0.00,21300,1510.03,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,VISA BANQUE ROYALE,FALSE,FALSE,0,,,0.00
000054,2002/12/31,CITE-PROPR,21300,solde,,1207.76,0.00,21300,1207.76,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,SERVICE CITE PROPRE INC.,FALSE,FALSE,0,,,0.00
000055,2002/12/31,L-G-RENOVA,21300,solde,,56937.38,0.00,21300,56937.38,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,LG RENOVATION INC.,FALSE,FALSE,0,,,0.00
000030,2003/01/01,VISA-BANQU,21300,solde corr. 31-12-02,,78.09,0.00,21340,4.75,21370,5.45,33200,67.89,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,VISA BANQUE ROYALE,FALSE,FALSE,0,,,0.00
000031,2003/01/01,VISA-BANQU,21300,frais int.,,74.70,0.00,45200,74.70,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,VISA BANQUE ROYALE,FALSE,FALSE,0,,,0.00
000032,2003/01/01,USINAGE-SB,21300,432894,,920.20,0.00,21340,56.00,21370,64.20,33200,800.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,USINAGE SB 2000,FALSE,FALSE,0,,,0.00
000033,2003/01/01,USINAGE-SB,21300,432899,,80.52,0.00,21340,4.90,21370,5.62,33200,70.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,USINAGE SB 2000,FALSE,FALSE,0,,,0.00
000121,2003/01/01,MILETTE-G-,21300,credit F9836,Défaut de fabrication,-48.00,0.00,21340,-2.92,21370,-3.35,15350,-41.73,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,GERARD MILETTE INC.,FALSE,FALSE,0,,,0.00
000050,2003/01/03,EQUIP-PNEU,21300,26388,rep. drill bosh,120.21,0.00,21340,7.32,21370,8.39,42130,104.50,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,EQUIPEMENTS PNEUMATIQUES DU CAP INC.,FALSE,FALSE,0,,,0.00
000069,2003/01/04,QUIN-DERY-,21300,5359,,105.39,0.00,21340,6.41,21370,7.35,42117,91.63,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,QUINCAILLERIE R. DERY,FALSE,FALSE,0,,,0.00
000047,2003/01/08,MACH-BROUS,21300,280,,76.00,0.00,21340,4.63,21370,5.30,42125,66.07,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,LES MACHINERIES JEANNOT BROUSSEAU LTEE,FALSE,FALSE,0,,,0.00
000119,2003/01/10,OUTILLAGE-,21300,53953,Chepeur,2241.84,0.00,21340,136.43,21370,156.41,15450,1949.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,GÉNÉRAL SURPLUS 2000 INC.,FALSE,FALSE,0,,,0.00
000129,2003/01/11,AMEX------,21300,2003-01-11,,139.70,0.00,21340,8.50,21370,9.75,33200,121.45,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,BANQUE LAURENTIENNE - VISA,FALSE,FALSE,0,,,0.00
000034,2003/01/13,BOIS-FRANC,21300,229254,,1350.00,0.00,15350,1350.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,FALSE,FALSE,,,,FALSE,FALSE,1,BOIS FRANC LAMARRE ENR.,FALSE,FALSE,0,,,0.00
000079,2003/01/13,QUINC-FRIG,21300,222734,,53.52,0.00,21340,3.26,21370,3.73,33200,46.53,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,QUINCAILLERIE L. FRIGON INC.,FALSE,FALSE,0,,,0.00
000093,2003/01/13,MAT-ROY---,21300,183005,,35.73,0.00,21340,2.17,21370,2.49,33200,31.07,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,MATERIAUX M. ROY INC.,FALSE,FALSE,0,,,0.00
000090,2003/01/14,MAT-ROY---,21300,183131,,115.62,0.00,21340,7.04,21370,8.07,15350,100.51,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,MATERIAUX M. ROY INC.,FALSE,FALSE,0,,,0.00
000091,2003/01/14,MAT-ROY---,21300,183132,,8.85,0.00,21340,0.54,21370,0.62,33200,7.69,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,MATERIAUX M. ROY INC.,FALSE,FALSE,0,,,0.00
000094,2003/01/14,MAT-ROY---,21300,183081,,-4.71,0.00,21340,-0.29,21370,-0.33,33200,-4.09,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,MATERIAUX M. ROY INC.,FALSE,FALSE,0,,,0.00
000089,2003/01/15,MAT-ROY---,21300,183201,,110.43,0.00,21340,6.72,21370,7.70,15350,96.01,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,MATERIAUX M. ROY INC.,FALSE,FALSE,0,,,0.00
000114,2003/01/15,MAT-ROY---,21300,183164,,11.20,0.00,21340,0.68,21370,0.78,15350,9.74,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,MATERIAUX M. ROY INC.,FALSE,FALSE,0,,,0.00
000115,2003/01/15,MAT-ROY---,21300,183163,,62.08,0.00,21340,3.78,21370,4.33,15350,53.97,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,MATERIAUX M. ROY INC.,FALSE,FALSE,0,,,0.00
000046,2003/01/16,REFRIGERAT,21300,9556,,5291.15,0.00,21340,322.00,21370,369.15,15350,4600.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,ST-TITE REFRIGERATION INC.,FALSE,FALSE,0,,,0.00
000073,2003/01/16,QUINC-FRIG,21300,222953,,175.22,0.00,21340,10.65,21370,12.23,15350,152.34,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,QUINCAILLERIE L. FRIGON INC.,FALSE,FALSE,0,,,0.00
000092,2003/01/16,MAT-ROY---,21300,183241,,63.64,0.00,21340,3.87,21370,4.44,15350,55.33,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,MATERIAUX M. ROY INC.,FALSE,FALSE,0,,,0.00
000101,2003/01/16,MAT-ROY---,21300,183274,,-22.99,0.00,21340,-1.40,21370,-1.60,33200,-19.99,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,MATERIAUX M. ROY INC.,FALSE,FALSE,0,,,0.00
000070,2003/01/17,QUINC-FRIG,21300,223053,,60.18,0.00,21340,3.66,21370,4.20,15350,52.32,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,QUINCAILLERIE L. FRIGON INC.,FALSE,FALSE,0,,,0.00
000071,2003/01/17,QUINC-FRIG,21300,223050,,75.62,0.00,21340,4.60,21370,5.28,15350,65.74,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,QUINCAILLERIE L. FRIGON INC.,FALSE,FALSE,0,,,0.00
000100,2003/01/17,MAT-ROY---,21300,183332,,353.49,0.00,21340,21.51,21370,24.66,15350,307.32,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,MATERIAUX M. ROY INC.,FALSE,FALSE,0,,,0.00
000102,2003/01/17,MAT-ROY---,21300,183336,,4.12,0.00,21340,0.25,21370,0.29,15350,3.58,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,MATERIAUX M. ROY INC.,FALSE,FALSE,0,,,0.00
000103,2003/01/17,MAT-ROY---,21300,183373,,10.16,0.00,21340,0.62,21370,0.71,15350,8.83,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,MATERIAUX M. ROY INC.,FALSE,FALSE,0,,,0.00
000104,2003/01/17,MAT-ROY---,21300,183385,,10.45,0.00,21340,0.64,21370,0.73,15350,9.08,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,MATERIAUX M. ROY INC.,FALSE,FALSE,0,,,0.00
000074,2003/01/20,QUINC-FRIG,21300,223254,,12.30,0.00,21340,0.75,21370,0.86,15350,10.69,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,QUINCAILLERIE L. FRIGON INC.,FALSE,FALSE,0,,,0.00
000075,2003/01/20,QUINC-FRIG,21300,223255,,33.12,0.00,21340,2.02,21370,2.31,15350,28.79,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,QUINCAILLERIE L. FRIGON INC.,FALSE,FALSE,0,,,0.00
000076,2003/01/20,QUINC-FRIG,21300,223270,,14.07,0.00,21340,0.86,21370,0.98,15350,12.23,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,QUINCAILLERIE L. FRIGON INC.,FALSE,FALSE,0,,,0.00
000105,2003/01/20,MAT-ROY---,21300,183505,,42.28,0.00,21340,2.57,21370,2.95,15350,36.76,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,MATERIAUX M. ROY INC.,FALSE,FALSE,0,,,0.00
000106,2003/01/20,MAT-ROY---,21300,183515,,19.39,0.00,21340,1.18,21370,1.35,15350,16.86,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,MATERIAUX M. ROY INC.,FALSE,FALSE,0,,,0.00
000107,2003/01/20,MAT-ROY---,21300,183532,,45.34,0.00,21340,2.76,21370,3.16,15350,39.42,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,MATERIAUX M. ROY INC.,FALSE,FALSE,0,,,0.00
000108,2003/01/20,MAT-ROY---,21300,183536,,9.32,0.00,21340,0.57,21370,0.65,15350,8.10,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,MATERIAUX M. ROY INC.,FALSE,FALSE,0,,,0.00
000109,2003/01/20,MAT-ROY---,21300,183485,,3.66,0.00,21340,0.22,21370,0.26,15350,3.18,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,MATERIAUX M. ROY INC.,FALSE,FALSE,0,,,0.00
000110,2003/01/20,MAT-ROY---,21300,183486,,27.61,0.00,21340,1.68,21370,1.93,15350,24.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,MATERIAUX M. ROY INC.,FALSE,FALSE,0,,,0.00
000116,2003/01/20,BETON-CRET,21300,16212,,402.59,0.00,21340,24.50,21370,28.09,15350,350.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,BETON CRETE INC.,FALSE,FALSE,0,,,0.00
000041,2003/01/21,J-M-SPORTS,21300,36615,ajust. scie,69.02,0.00,21340,4.20,21370,4.82,42130,60.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,J.M. SPORTS ENR.,FALSE,FALSE,0,,,0.00
000049,2003/01/21,PNEU-T-C--,21300,6514,,74.77,0.00,21340,4.55,21370,5.22,42125,65.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,SERVICE DU PNEU TC 2001 INC.,FALSE,FALSE,0,,,0.00
000062,2003/01/21,MILETTE-G-,21300,9836,,1147.53,0.00,21340,69.83,21370,80.06,15350,997.64,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,0,,0.00,0.00,21310,0.00,0.00,0.00,TRUE,TRUE,,,,FALSE,FALSE,1,GERARD MILETTE INC.,FALSE,FALSE,0,,,0.00
