Numéro de projet,Code d'activité,Pourcentage de profit,Dépense à venir,Facturé à date
0000004029,00000,0.00,0.00,7160.00
0000004030,00000,0.00,0.00,3567.67
0000004031,00000,0.00,0.00,30722.50
0000004032,00000,0.00,0.00,24284.83
0000004033,00000,0.00,0.00,13338.24
0000004034,00000,0.00,0.00,4150.00
0000004035,00000,0.00,0.00,80064.71
0000004036,00000,0.00,0.00,9186.61
0000004037,00000,0.00,0.00,955.00
0000005001,00000,0.00,0.00,18648.03
0000005001,03000,33.37,0.00,0.00
0000005002,00000,0.00,0.00,16979.65
0000005002,16000,119.35,0.00,0.00
0000005003,00000,0.00,0.00,19000.00
0000005003,06101,2230.98,0.00,0.00
0000005004,00000,0.00,0.00,17486.26
0000005005,00000,0.00,0.00,6955.00
0000005006,00000,0.00,0.00,69381.47
0000005006,05500,19.38,0.00,0.00
0000005007,00000,0.00,0.00,13930.00
0000005007,01800,22.90,0.00,0.00
0000005008,00000,0.00,0.00,8877.50
0000005009,00000,0.00,0.00,545.00
0000005010,00000,0.00,0.00,18405.16
0000005010,06101,2113.00,0.00,0.00
0000005010,25001,0.00,0.00,13288.00
0000005011,00000,0.00,0.00,83020.68
0000005012,00000,0.00,0.00,46734.40
0000005012,01800,20.05,0.00,0.00
0000005013,06100,0.00,0.00,70000.00
0000005013,06101,0.00,0.00,79841.00
0000005013,25001,0.00,0.00,3920.33
0000005014,00000,0.00,0.00,29363.50
0000005014,01800,26.87,0.00,0.00
0000005015,01800,14.93,0.00,0.00
0000005016,00000,0.00,0.00,87196.01
0000005017,00000,0.00,0.00,4490.00
0000005018,00000,0.00,0.00,7825.00
0000005018,03100,9.90,0.00,0.00
0000005019,00000,0.00,0.00,9103.00
0000005019,01800,8.00,0.00,0.00
0000005020,00000,0.00,0.00,527.50
0000005021,00000,0.00,0.00,1575.00
0000005022,00000,0.00,0.00,3272.00
0000005023,00000,0.00,0.00,532.80
0000005024,00000,0.00,0.00,38876.27
0000005025,00000,0.00,0.00,2700.00
0000005027,00000,0.00,0.00,21013.85
0000005028,00000,0.00,0.00,3227.29
0000005029,00000,0.00,0.00,7347.00
0000005030,00000,0.00,0.00,8011.98
0000005031,00000,0.00,0.00,12165.53
0000005033,00000,0.00,0.00,2999.25
0000005034,01800,80.70,0.00,280.70
0000005034,06101,0.00,0.00,42253.19
