Numéro d'activité,Description de l'activité (francais),Description de l'activité (anglais),Code interne,Numéro de fournisseur,Numéro de G/L Achat,Montant en com. fournisseur,Montant en B/O
12540,Mobilier d'hébergement,Hospitality furniture,,,41100,0.00,0.00
12560,Mobilier institutionnel,Institutional furniture,,,41100,0.00,0.00
12580,Mobilier de résidence,Residence furniture,,,41100,0.00,0.00
12600,Sièges multiples,Multiple seating,,,41100,0.00,0.00
12610,Chaises d'auditorium fixes,Fixed audience seating,,,41100,0.00,0.00
12620,Chaises d'auditorium transportables,Portable audience seating,,,41100,0.00,0.00
12630,Sièges de stade et de centre sportif,Stadium and arena seating,,,41100,0.00,0.00
12640,Banquettes et tables,Seats and tables,,,41100,0.00,0.00
12650,Sièges fixes à usage multiple,Multiple use fixed seating,,,41100,0.00,0.00
12660,Gradins escamotables,Telescoping stands,,,33200,0.00,0.00
12670,Bancs d'église et banquettes,Pews and benches,,,41100,0.00,0.00
12680,Ensembles de table et de chaises,Seat and table assemblies,,,41100,0.00,0.00
12700,Mobilier de systèmes,Systems furniture,,,33500,0.00,0.00
12710,Mobilier de système à él. suspendu au panneau,System furniture with supended panel elem.,,,41100,0.00,0.00
12720,Mobilier de système d'élément sur pieds,Standing systeme furniture,,,41100,0.00,0.00
12730,Mobilier de système à poutres,Beam furniture systems,,,41100,0.00,0.00
12740,Mobilier de système de bureau,Office system furniture,,,41100,0.00,0.00
12800,Plantes d'intérieur et jardinières,Interior plants and planter,,,41100,0.00,0.00
12810,Plantes d'intérieur naturelles,Natural interior plants,,,41100,0.00,0.00
12820,Plantes d'intérieur artificielles,Artificial interior plants,,,41100,0.00,0.00
12830,Jardinières d'intérieur,Interior gardens,,,41100,0.00,0.00
12840,Accessoires d'aménagement paysager intérieur,Interior landscaping accessories,,,41100,0.00,0.00
12850,Entretien de plantes d'intérieur,Interior plant maintenance,,,41100,0.00,0.00
12900,Restaur. et rép. d'ameublement et d'access.,"Furniture restoration, repairs and access.",,,41100,0.00,0.00
13000,INSTALLATIONS SPÉCIALES,SPECIAL CONSTRUCTION,,,41100,0.00,0.00
13010,Structures gonfables,Air-supported structures,,,41100,0.00,0.00
13020,Modules de batiment,Building modules,,,41100,0.00,0.00
13030,Pièces à usage spécial,Special use rooms,,,41100,0.00,0.00
13080,"Protection contre bruit, vibration et séismes","Protection against noise, vibrat. and seism",,,41100,0.00,0.00
13090,Protection contre les radiations,Radiations protection,,,41100,0.00,0.00
13100,Protection contre la foudre,Protection against lightning,,,41100,0.00,0.00
13110,Protection cathodique,Cathodic protection,,,41100,0.00,0.00
13120,Constructions précalculées,Pre-engineered structures,,,41100,0.00,0.00
13150,Piscines,Swimming pools,,,41100,0.00,0.00
13160,Aquariums,Aquariums,,,41100,0.00,0.00
13165,Équipement de parc aquatique,Aquatic parc equipment,,,41100,0.00,0.00
13170,Bains et piscines,Tubs and pools,,,41100,0.00,0.00
13175,Patinoires,Ice rinks,,,41100,0.00,0.00
13185,Chenils et abris pour animaux,Kennels and animal shelters,,,41100,0.00,0.00
13190,Incinérateurs construits sur place,Site-constructed incinerators,,,41100,0.00,0.00
13200,Réservoirs de stockage,Storage tanks,,,41100,0.00,0.00
