Numéro d'activité,Description de l'activité (francais),Description de l'activité (anglais),Code interne,Numéro de fournisseur,Numéro de G/L Achat,Montant en com. fournisseur,Montant en B/O
16790,Éq. de transm.et de réception par micro-ondes,Microwave transmission and reception equ.,,,,0.00,0.00
16800,Son et vidéo,Sound and video,,,33500,0.00,0.00
16810,Circuits audio et vidéo,Sound and video circuits,,,,0.00,0.00
16820,Amplification sonore,Sound reinforcement,,,,0.00,0.00
16830,Équipement de studio de diffusion audio,Studio equipment and sound diffusion,,,,0.00,0.00
16840,Équipement de studio de diffusion vidéo,Studio equipment and video diffusion,,,,0.00,0.00
16850,Équipement de télévision,Television equipment,,,,0.00,0.00
16880,Équipement multimédia,Multimedia equipment,,,,0.00,0.00
25001,Avis de changement # 1,,,,,49290.80,2553.77
25002,Avis de changement # 2,,,,,0.00,0.00
25003,Avis de changement # 3,,,,,0.00,0.00
25004,Avis de changement # 4,,,,,0.00,0.00
25005,Avis de changement # 5,,,,,0.00,0.00
25006,Avis de changement # 6,,,,,0.00,0.00
25007,Avis de changement # 7,,,,,0.00,0.00
25008,Avis de changement # 8,,,,,0.00,0.00
25009,Avis de changement # 9,,,,,0.00,0.00
25010,Avis de changement # 10,,,,,0.00,0.00
25011,Avis de changement # 11,,,,,-162.52,0.00
25012,Avis de changement # 12,,,,,0.00,0.00
25013,Avis de changement # 13,,,,,0.00,0.00
25014,Avis de changement # 14,,,,,0.00,0.00
25015,Avis de changement # 15,,,,,0.00,0.00
25016,Avis de changement # 16,,,,,0.00,0.00
25017,Avis de changement # 17,,,,,0.00,0.00
25018,Avis de changement # 18,,,,,0.00,0.00
25019,Avis de changement # 19,,,,,0.00,0.00
25020,Avis de changement # 20,,,,,0.00,0.00
25021,Avis de changement # 21,,,,,0.00,0.00
25022,Avis de changement # 22,,,,,0.00,0.00
25023,Avis de changement # 23,,,,,0.00,0.00
25024,Avis de changement # 24,,,,,0.00,0.00
25025,Avis de changement # 25,,,,,0.00,0.00
25026,Avis de changement # 26,,,,,0.00,0.00
25027,Avis de changement # 27,,,,,0.00,0.00
25028,Avis de changement # 28,,,,,0.00,0.00
25029,Avis de changement # 29,,,,,0.00,0.00
25030,Avis de changement # 30,,,,,0.00,0.00
25031,Avis de changement # 31,,,,,0.00,0.00
25032,Avis de changement no. 32,,,,,0.00,0.00
25033,Avis de changement no. 33,,,,,0.00,0.00
25034,Avis de changement no. 34,,,,,0.00,0.00
25035,Avis de changement no. 35,,,,,0.00,0.00
25036,Avis de changement no. 36,,,,,0.00,0.00
25037,Avis de changement no. 37,,,,,0.00,0.00
25038,Avis de changement no. 38,,,,,0.00,0.00
25039,Avis de changement no. 39,,,,,0.00,0.00
25040,Avis de changement no. 40,,,,,0.00,0.00
25041,Avis de changement no. 41,,,,,0.00,0.00
25042,Avis de changement no. 42,,,,,0.00,0.00
25043,Avis de changement no. 43,,,,,0.00,0.00
25044,Avis de changement no. 44,,,,,0.00,0.00
25045,Avis de changement no. 45,,,,,0.00,0.00
25046,Avis de changement no .46,,,,,0.00,0.00
25047,Avis de changement no. 47,,,,,0.00,0.00
25048,Avis de changement no  48,,,,,0.00,0.00
25049,Avis de changement no. 49,,,,,0.00,0.00
25050,Avis de changement no. 50,,,,,0.00,0.00
25051,Avis de changement no. 51,,,,,0.00,0.00
25052,Avis de changement no. 52,,,,,0.00,0.00
25053,Avis de changement no. 53,,,,,0.00,0.00
25054,Avis de changement no. 54,,,,,0.00,0.00
25055,Avis de changement no. 55,,,,,0.00,0.00
25056,Avis de changement no. 56,,,,,0.00,0.00
25057,Avis de changement no. 57,,,,,0.00,0.00
25058,Avis de changement no. 58,,,,,0.00,0.00
25059,Avis de changement no. 59,,,,,0.00,0.00
25060,Avis de changement no. 60,,,,,0.00,0.00
25061,Avis de changement no. 61,,,,,0.00,0.00
25062,Avis de changement no. 62,,,,,0.00,0.00
25063,Avis de changement no. 63,,,,,0.00,0.00
25064,Avis de changement no. 64,,,,,0.00,0.00
25065,Avis de changement no. 65,,,,,0.00,0.00
25066,Avis de changement no. 66,,,,,0.00,0.00
25067,Avis de changement no  67,,,,,0.00,0.00
25068,Avis de changement no. 68,,,,,0.00,0.00
25069,Avis de changement no. 69,,,,,0.00,0.00
25070,Avis de changement no. 70,,,,,0.00,0.00
25071,Avis de changement no. 71,,,,,0.00,0.00
25072,Avis de changement no. 72,,,,,0.00,0.00
25073,Avis de changement no. 73,,,,,0.00,0.00
25074,Avis de changement no. 74,,,,,0.00,0.00
25075,Avis de changement no. 75,,,,,0.00,0.00
25076,Avis de changement no. 76,,,,,0.00,0.00
25077,Avis de changement no .77,,,,,0.00,0.00
25078,Avis de changement no. 78,,,,,0.00,0.00
25079,Avis de changement no. 79,,,,,0.00,0.00
25080,Avis de changement no. 80,,,,,0.00,0.00
25081,Avis de changement no. 81,,,,,0.00,0.00
25082,Avis de changement no. 82,,,,,0.00,0.00
25083,Avis de changement no. 83,,,,,0.00,0.00
25084,Avis de changement no. 84,,,,,0.00,0.00
25085,Avis de changement no. 85,,,,,0.00,0.00
25086,Avis de changement no. 86,,,,,0.00,0.00
25087,Avis de changement no. 87,,,,,0.00,0.00
25100,Avis de changement no.100,,,,,0.00,388.68
26001,Avis de chang. mécanique 01,,,,,0.00,0.00
26002,Avis de chang. mécanique # 2,,,,,0.00,0.00
26003,Avis de chang. mécanique # 3,,,,,0.00,0.00
26004,Avis de chang. mécanique # 4,,,,,0.00,0.00
26005,Avis de chang. mécanique # 5,,,,,0.00,0.00
26006,Avis de chang. mécanique # 6,,,,,0.00,0.00
27001,Avis de chang. électrique # 1,,,,,0.00,0.00
27002,Avis de chang. électrique # 2,,,,,0.00,0.00
27003,Avis de chang. électrique # 3,,,,,0.00,0.00
27004,Avis de chang. électrique # 4,,,,,0.00,0.00
27005,Avis de chang. électrique # 5,,,,,0.00,0.00
27006,Avis de chang. électricité # 6,,,,,0.00,0.00
27007,Avis de chang. électricité # 7,,,,,0.00,0.00
27008,Avis de chang. électricité # 8,,,,,0.00,0.00
27009,Avis de chang. électricité # 9,,,,,0.00,0.00
27010,Avis de chang. électrique # 10,,,,,0.00,0.00
27011,Avis de chang. électrique # 11,,,,,0.00,0.00
28001,Avis de chang. structure # 1,,,,,0.00,0.00
28002,Avis de chang. structure # 2,,,,,0.00,0.00
28003,Avis de chang. structure # 3,,,,,0.00,0.00
28004,Avis de chang. structure # 4,,,,,0.00,0.00
28005,Avis de chang. structure # 5,,,,,0.00,0.00
28006,Avis de chang. structure # 6,,,,,0.00,0.00
28007,Avis de chang. structure # 7,,,,,0.00,0.00
28008,Avis de chang. structure # 8,,,,,0.00,0.00
28009,Avis de chang. structure # 9,,,,,0.00,0.00
28010,Avis de chang. structure # 10,,,,,0.00,0.00
28011,Avis de chang. structure # 11,,,,,0.00,0.00
28012,Avis de chang. structure # 12,,,,,0.00,0.00
28013,Avis de chang. structure # 13,,,,,0.00,0.00
28014,Avis de chang. structure # 14,,,,,0.00,0.00
29001,Avis de chang. génie civil # 1,,,,,0.00,0.00
29002,Avis de chang. génie civil # 2,,,,,0.00,0.00
29003,Avis de chang. génie civil # 3,,,,,0.00,0.00
29004,Avis de chang. génie civil # 4,,,,,0.00,0.00
29005,Avis de chang. génie civil # 5,,,,,0.00,0.00
99999,Divers,,,,,0.00,0.00
